Date,Open,High,Low,Close,Volume
1994-03-06,2222.96,2241.72,2079.92,2178.69,0.0
1994-03-13,2199.09,2225.48,2164.52,2174.91,0.0
1994-03-20,2196.77,2260.6,2196.77,2221.34,0.0
1994-03-27,2205.56,2225.15,2113.55,2136.62,0.0
1994-04-03,2136.42,2165.83,2069.37,2081.94,0.0
1994-04-10,2067.8,2146.93,2057.17,2114.77,0.0
1994-04-17,2125.13,2161.97,2123.46,2159.59,0.0
1994-04-24,2162.5,2188.61,2079.27,2135.17,0.0
1994-05-01,2133.12,2172.39,2097.16,2165.96,0.0
1994-05-08,2165.96,2197.76,2127.64,2158.22,0.0
1994-05-15,2136.81,2206.24,2123.48,2187.0,0.0
1994-05-22,2196.91,2217.74,2146.77,2155.43,0.0
1994-05-29,2141.26,2142.52,2038.76,2050.67,0.0
1994-06-05,2062.75,2065.07,1972.18,2041.74,0.0
1994-06-12,2042.63,2060.4,2008.44,2020.72,0.0
1994-06-19,2010.41,2010.41,1931.79,1935.95,0.0
1994-06-26,1909.05,1953.07,1856.34,1907.02,0.0
1994-07-03,1883.81,1955.65,1859.53,1872.86,0.0
1994-07-10,1873.85,1931.27,1854.84,1920.78,0.0
1994-07-17,1927.86,1974.59,1927.86,1974.59,0.0
1994-07-24,1991.41,2074.82,1987.31,2041.41,0.0
1994-07-31,2046.74,2092.68,2038.03,2074.99,0.0
1994-08-07,2077.15,2125.52,2064.71,2107.07,0.0
1994-08-14,2097.95,2109.41,1992.52,2006.95,0.0
1994-08-21,2015.67,2041.24,1993.89,2001.33,0.0
1994-08-28,2004.3,2067.82,1962.4,2062.74,0.0
1994-09-04,2059.0,2086.76,2016.14,2020.37,0.0
1994-09-11,2002.59,2007.07,1945.4,1948.83,0.0
1994-09-18,1939.27,1986.68,1919.51,1924.59,0.0
1994-09-25,1925.64,1935.47,1891.61,1927.35,0.0
1994-10-02,1937.42,1938.22,1856.52,1879.25,0.0
1994-10-09,1865.28,1879.24,1825.36,1856.38,0.0
1994-10-16,1865.97,1959.46,1865.97,1933.02,0.0
1994-10-23,1938.66,1945.41,1829.51,1842.09,0.0
1994-10-30,1851.31,1907.64,1796.82,1905.69,0.0
1994-11-06,1880.42,1932.58,1859.14,1931.65,0.0
1994-11-13,1919.32,1961.5,1899.15,1948.35,0.0
1994-11-20,1940.27,1964.23,1907.55,1926.5,0.0
1994-11-27,1932.48,1948.85,1872.33,1945.89,0.0
1994-12-04,1958.85,1992.07,1936.95,1982.71,0.0
1994-12-11,1990.22,2003.19,1931.38,1936.99,0.0
1994-12-18,1926.61,1948.37,1903.87,1924.16,0.0
1994-12-25,1923.55,1960.08,1922.14,1949.85,0.0
1995-01-01,1960.55,1969.75,1873.12,1881.15,0.0
1995-01-08,1883.43,1909.82,1866.62,1886.4,0.0
1995-01-15,1893.04,1898.14,1824.92,1853.98,0.0
1995-01-22,1870.78,1882.6,1810.24,1813.33,0.0
1995-01-29,1794.39,1834.59,1764.35,1814.13,0.0
1995-02-05,1816.51,1848.1,1786.16,1842.43,0.0
1995-02-12,1859.25,1887.78,1847.75,1869.4,0.0
1995-02-19,1866.26,1872.8,1816.88,1822.47,0.0
1995-02-26,1809.56,1831.42,1787.51,1805.74,0.0
1995-03-05,1785.66,1814.44,1769.74,1795.24,0.0
1995-03-12,1794.1,1803.78,1718.67,1743.1,0.0
1995-03-19,1744.31,1800.26,1711.8,1788.83,0.0
1995-03-26,1799.65,1832.63,1780.88,1817.29,0.0
1995-04-02,1833.36,1899.49,1817.74,1859.48,0.0
1995-04-09,1847.79,1904.69,1838.6,1900.36,0.0
1995-04-16,1892.91,1908.19,1860.89,1881.14,0.0
1995-04-23,1873.41,1935.42,1843.13,1928.37,0.0
1995-04-30,1931.95,1962.86,1902.6,1918.46,0.0
1995-05-07,1912.93,1987.57,1912.93,1927.41,0.0
1995-05-14,1970.53,2025.15,1965.29,2017.27,0.0
1995-05-21,2015.01,2018.62,1960.35,1965.46,0.0
1995-05-28,1962.75,1981.54,1915.46,1919.07,0.0
1995-06-04,1915.07,1974.59,1915.07,1971.3,0.0
1995-06-11,1973.22,1983.58,1892.4,1897.02,0.0
1995-06-18,1901.95,1931.49,1886.27,1904.95,0.0
1995-06-25,1905.06,1927.43,1885.77,1895.07,0.0
1995-07-02,1890.98,1907.83,1850.74,1858.82,0.0
1995-07-09,1858.71,1952.95,1856.46,1950.8,0.0
1995-07-16,1950.96,1972.62,1929.5,1948.32,0.0
1995-07-23,1947.28,1962.95,1901.62,1908.85,0.0
1995-07-30,1906.88,1955.47,1905.91,1932.78,0.0
1995-08-06,1933.46,1964.67,1915.03,1957.08,0.0
1995-08-13,1960.92,1963.37,1931.04,1946.21,0.0
1995-08-20,1959.78,1985.72,1959.78,1971.56,0.0
1995-08-27,1971.93,1989.44,1929.54,1937.81,0.0
1995-09-03,1927.69,1927.81,1873.04,1881.69,0.0
1995-09-10,1883.85,1911.43,1849.35,1854.9,0.0
1995-09-17,1857.21,1908.86,1839.95,1879.97,0.0
1995-09-24,1878.41,1899.56,1787.73,1790.69,0.0
1995-10-01,1812.59,1819.85,1747.52,1788.35,0.0
1995-10-08,1788.32,1810.87,1753.33,1809.57,0.0
1995-10-15,1796.35,1830.48,1755.39,1817.03,0.0
1995-10-22,1810.31,1815.47,1731.38,1740.72,0.0
1995-10-29,1728.52,1766.93,1713.25,1742.38,0.0
1995-11-05,1768.33,1842.15,1768.33,1832.1,0.0
1995-11-12,1828.1,1882.35,1805.57,1839.82,0.0
1995-11-19,1846.62,1909.95,1827.23,1890.52,0.0
1995-11-26,1895.62,1903.46,1863.42,1890.95,0.0
1995-12-03,1895.27,1899.95,1805.34,1820.91,0.0
1995-12-10,1786.8,1859.34,1766.58,1856.33,0.0
1995-12-17,1837.53,1891.43,1823.98,1859.25,0.0
1995-12-24,1859.15,1873.37,1795.9,1873.37,0.0
1995-12-31,1864.38,1896.0,1857.7,1871.97,0.0
1996-01-07,1873.36,1952.55,1873.14,1917.72,0.0
1996-01-14,1909.18,1933.04,1891.05,1907.59,0.0
1996-01-21,1914.04,1971.38,1911.9,1964.28,0.0
1996-01-28,1960.43,1970.75,1925.14,1966.73,0.0
1996-02-04,1965.29,2032.43,1959.53,2022.21,0.0
1996-02-11,2007.4,2008.4,1939.34,1960.65,0.0
1996-02-18,1953.94,1985.61,1945.72,1952.5,0.0
1996-02-25,1941.86,1986.75,1914.0,1976.89,0.0
1996-03-03,1969.82,2020.87,1954.31,2017.19,0.0
1996-03-10,2021.36,2029.38,1961.14,1975.46,0.0
1996-03-17,1944.5,1963.64,1919.07,1950.12,0.0
1996-03-24,1953.15,1985.41,1943.4,1974.35,0.0
1996-03-31,1994.69,2048.17,1994.02,2044.77,0.0
1996-04-07,2059.43,2078.19,2041.07,2074.96,0.0
1996-04-14,2063.53,2100.87,2056.95,2074.74,0.0
1996-04-21,2088.46,2100.56,2068.42,2092.45,0.0
1996-04-28,2101.55,2143.17,2099.95,2138.36,0.0
1996-05-05,2132.51,2164.15,2090.23,2115.38,0.0
1996-05-12,2100.91,2114.94,2074.63,2114.8,0.0
1996-05-19,2111.83,2140.84,2098.12,2136.91,0.0
1996-05-26,2137.23,2137.7,2098.32,2117.65,0.0
1996-06-02,2126.0,2146.41,2095.62,2110.06,0.0
1996-06-09,2105.43,2144.24,2095.05,2101.99,0.0
1996-06-16,2112.46,2147.46,2103.13,2111.78,0.0
1996-06-23,2116.19,2118.88,2073.06,2084.18,0.0
1996-06-30,2092.57,2128.79,2092.02,2123.7,0.0
1996-07-07,2110.91,2130.97,2088.26,2098.79,0.0
1996-07-14,2085.39,2093.8,2047.83,2050.55,0.0
1996-07-21,2053.14,2054.69,1975.68,1992.83,0.0
1996-07-28,1993.86,1993.86,1939.64,1962.86,0.0
1996-08-04,1971.17,2030.77,1944.14,2023.41,0.0
1996-08-11,2023.38,2031.49,1980.49,1989.54,0.0
1996-08-18,1982.11,1988.78,1970.23,1979.52,0.0
1996-08-25,1991.48,2026.54,1983.26,2020.82,0.0
1996-09-01,2018.89,2024.47,1962.41,1970.61,0.0
1996-09-08,1972.7,2010.64,1949.71,2004.75,0.0
1996-09-15,2009.36,2085.54,2008.04,2080.37,0.0
1996-09-22,2081.84,2091.54,2066.83,2079.46,0.0
1996-09-29,2069.42,2111.95,2063.27,2107.05,0.0
1996-10-06,2106.31,2155.2,2101.95,2152.69,0.0
1996-10-13,2154.8,2166.04,2123.78,2147.12,0.0
1996-10-20,2139.55,2187.05,2132.36,2185.23,0.0
1996-10-27,2190.76,2190.76,2141.82,2162.43,0.0
1996-11-03,2166.48,2166.48,2116.79,2140.51,0.0
1996-11-10,2121.58,2223.56,2121.58,2205.2,0.0
1996-11-17,2206.57,2250.29,2196.67,2240.33,0.0
1996-11-24,2228.43,2255.47,2219.66,2255.47,0.0
1996-12-01,2263.62,2327.81,2262.02,2315.66,0.0
1996-12-08,2308.04,2358.65,2180.44,2240.72,0.0
1996-12-15,2255.94,2271.42,2171.57,2203.41,0.0
1996-12-22,2214.74,2288.87,2188.85,2278.53,0.0
1996-12-29,2272.14,2312.18,2265.48,2306.95,0.0
1997-01-05,2316.59,2328.15,2251.53,2282.76,0.0
1997-01-12,2309.93,2350.43,2294.01,2327.5,0.0
1997-01-19,2354.52,2426.13,2353.89,2425.1,0.0
1997-01-26,2426.82,2463.91,2384.77,2430.34,0.0
1997-02-02,2443.1,2521.88,2428.16,2516.56,0.0
1997-02-09,2519.72,2598.42,2498.84,2597.52,0.0
1997-02-16,2583.32,2643.98,2577.38,2627.42,0.0
